Index,Height(Inches),Weight(Pounds),Height_CM
1,65.78,112.99,167.0812
2,71.52,136.49,181.6608
3,69.4,153.03,176.276
4,68.22,142.34,173.2788
5,67.79,144.3,172.18660000000003
6,68.7,123.3,174.49800000000002
7,69.8,141.49,177.292
8,70.01,136.46,177.8254
9,67.9,112.37,172.466
10,66.78,120.67,169.62120000000002
11,66.49,127.45,168.88459999999998
12,67.62,114.14,171.75480000000002
13,68.3,125.61,173.482
14,67.12,122.46,170.4848
15,68.28,116.09,173.43120000000002
16,71.09,140.0,180.5686
17,66.46,129.5,168.80839999999998
18,68.65,142.97,174.371
19,71.23,137.9,180.9242
20,67.13,124.04,170.5102
21,67.83,141.28,172.2882
22,68.88,143.54,174.9552
23,63.48,97.9,161.23919999999998
24,68.42,129.5,173.7868
25,67.63,141.85,171.78019999999998
26,67.21,129.72,170.71339999999998
27,70.84,142.42,179.9336
28,67.49,131.55,171.4246
29,66.53,108.33,168.9862
30,65.44,113.89,166.2176
31,69.52,103.3,176.58079999999998
32,65.81,120.75,167.1574
33,67.82,125.79,172.2628
34,70.6,136.22,179.32399999999998
35,71.8,140.1,182.37199999999999
36,69.21,128.75,175.7934
37,66.8,141.8,169.672
38,67.66,121.23,171.8564
39,67.81,131.35,172.2374
40,64.05,106.71,162.68699999999998
41,68.57,124.36,174.16779999999997
42,65.18,124.86,165.55720000000002
43,69.66,139.67,176.9364
44,67.97,137.37,172.6438
45,65.98,106.45,167.5892
46,68.67,128.76,174.42180000000002
47,66.88,145.68,169.87519999999998
48,67.7,116.82,171.958
49,69.82,143.62,177.34279999999998
50,69.09,134.93,175.48860000000002
51,69.91,147.02,177.57139999999998
52,67.33,126.33,171.0182
53,70.27,125.48,178.48579999999998
54,69.1,115.71,175.51399999999998
55,65.38,123.49,166.0652
56,70.18,147.89,178.2572
57,70.41,155.9,178.8414
58,66.54,128.07,169.01160000000002
59,66.36,119.37,168.5544
60,67.54,133.81,171.5516
61,66.5,128.73,168.91
62,69.0,137.55,175.26
63,68.3,129.76,173.482
64,67.01,128.82,170.20540000000003
65,70.81,135.32,179.8574
66,68.22,109.61,173.2788
67,69.06,142.47,175.41240000000002
68,67.73,132.75,172.0342
69,67.22,103.53,170.7388
70,67.37,124.73,171.11980000000003
71,65.27,129.31,165.7858
72,70.84,134.02,179.9336
73,69.92,140.4,177.5968
74,64.29,102.84,163.2966
75,68.25,128.52,173.355
76,66.36,120.3,168.5544
77,68.36,138.6,173.6344
78,65.48,132.96,166.31920000000002
79,69.72,115.62,177.0888
80,67.73,122.52,172.0342
81,68.64,134.63,174.3456
82,66.78,121.9,169.62120000000002
83,70.05,155.38,177.927
84,66.28,128.94,168.3512
85,69.2,129.1,175.768
86,69.13,139.47,175.59019999999998
87,67.36,140.89,171.0944
88,70.09,131.59,178.0286
89,70.18,121.12,178.2572
90,68.23,131.51,173.3042
91,68.13,136.55,173.0502
92,70.24,141.49,178.40959999999998
93,71.49,140.61,181.5846
94,69.2,112.14,175.768
95,70.06,133.46,177.9524
96,70.56,131.8,179.22240000000002
97,66.29,120.03,168.37660000000002
98,63.43,123.1,161.1122
99,66.77,128.14,169.5958
100,68.89,115.48,174.9806
101,64.87,102.09,164.7698
102,67.09,130.35,170.4086
103,68.35,134.18,173.60899999999998
104,65.61,98.64,166.6494
105,67.76,114.56,172.11040000000003
106,68.02,123.49,172.77079999999998
107,67.66,123.05,171.8564
108,66.31,126.48,168.4274
109,69.44,128.42,176.3776
110,63.84,127.19,162.1536
111,67.72,122.06,172.0088
112,70.05,127.61,177.927
113,70.19,131.64,178.2826
114,65.95,111.9,167.513
115,70.01,122.04,177.8254
116,68.61,128.55,174.2694
117,68.81,132.68,174.7774
118,69.76,136.06,177.1904
119,65.46,115.94,166.26839999999999
120,68.83,136.9,174.8282
121,65.8,119.88,167.132
122,67.21,109.01,170.71339999999998
123,69.42,128.27,176.32680000000002
124,68.94,135.29,175.1076
125,67.94,106.86,172.5676
126,65.63,123.29,166.7002
127,66.5,109.51,168.91
128,67.93,119.31,172.5422
129,68.89,140.24,174.9806
130,70.24,133.98,178.40959999999998
131,68.27,132.58,173.4058
132,71.23,130.7,180.9242
133,69.1,115.56,175.51399999999998
134,64.4,123.79,163.57600000000002
135,71.1,128.14,180.594
136,68.22,135.96,173.2788
137,65.92,116.63,167.4368
138,67.44,126.82,171.2976
139,73.9,151.39,187.70600000000002
140,69.98,130.4,177.7492
141,69.52,136.21,176.58079999999998
142,65.18,113.4,165.55720000000002
143,68.01,125.33,172.74540000000002
144,68.34,127.58,173.58360000000002
145,65.18,107.16,165.55720000000002
146,68.26,116.46,173.3804
147,68.57,133.84,174.16779999999997
148,64.5,112.89,163.83
149,68.71,130.76,174.52339999999998
150,68.89,137.76,174.9806
151,69.54,125.4,176.63160000000002
152,67.4,138.47,171.19600000000003
153,66.48,120.82,168.85920000000002
154,66.01,140.15,167.6654
155,72.44,136.74,183.9976
156,64.13,106.11,162.8902
157,70.98,158.96,180.28920000000002
158,67.5,108.79,171.45
159,72.02,138.78,182.9308
160,65.31,115.91,165.8874
161,67.08,146.29,170.3832
162,64.39,109.88,163.5506
163,69.37,139.05,176.1998
164,68.38,119.9,173.68519999999998
165,65.31,128.31,165.8874
166,67.14,127.24,170.53560000000002
167,68.39,115.23,173.7106
168,66.29,124.8,168.37660000000002
169,67.19,126.95,170.6626
170,65.99,111.27,167.6146
171,69.43,122.61,176.3522
172,67.97,124.21,172.6438
173,67.76,124.65,172.11040000000003
174,65.28,119.52,165.8112
175,73.83,139.3,187.5282
176,66.81,104.83,169.69740000000002
177,66.89,123.04,169.9006
178,65.74,118.89,166.97959999999998
179,65.98,121.49,167.5892
180,66.58,119.25,169.1132
181,67.11,135.02,170.4594
182,65.87,116.23,167.30980000000002
183,66.78,109.17,169.62120000000002
184,68.74,124.22,174.59959999999998
185,66.23,141.16,168.22420000000002
186,65.96,129.15,167.5384
187,68.58,127.87,174.1932
188,66.59,120.92,169.13860000000003
189,66.97,127.65,170.1038
190,68.08,101.47,172.9232
191,70.19,144.99,178.2826
192,65.52,110.95,166.42079999999999
193,67.46,132.86,171.3484
194,67.41,146.34,171.2214
195,69.66,145.59,176.9364
196,65.8,120.84,167.132
197,66.11,115.78,167.9194
198,68.24,128.3,173.3296
199,68.02,127.47,172.77079999999998
200,71.39,127.88,181.3306
